171.109.229.208 - - [06/Jun/2014:00:01:26 +0800] "GET / HTTP/1.0" 200 11228
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:03:17 +0800] "GET /Bingle/ HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:03:20 +0800] "GET /Bingle/ HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:04:40 +0800] "GET /Bingle/ HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:04:42 +0800] "GET /Bingle/ HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:04:42 +0800] "GET /Bingle/ HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:04:43 +0800] "GET /Bingle/ HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:04:44 +0800] "GET /Bingle/ HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:04:45 +0800] "GET /Bingle/ HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:04:46 +0800] "GET /Bingle/ HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:05:10 +0800] "GET /Bingle/index.jap HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:05:16 +0800] "GET /Bingle HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:05:24 +0800] "GET / HTTP/1.1" 200 11248
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:05:25 +0800] "GET / HTTP/1.1" 200 11248
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:05:25 +0800] "GET /tomcat.css HTTP/1.1" 200 5576
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:05:25 +0800] "GET /tomcat.css HTTP/1.1" 200 5576
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:05:25 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:05:25 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:05:25 +0800] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:05:25 +0800] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:05:25 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
fe80:0:0:0:0:0:0:1%1 - - [06/Jun/2014:00:05:25 +0800] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:05:25 +0800] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:07:56 +0800] "GET / HTTP/1.1" 200 11248
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:07:56 +0800] "GET /tomcat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:07:56 +0800] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:08:01 +0800] "GET / HTTP/1.1" 200 11248
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:08:01 +0800] "GET /Bingle/servlet/PostSearch HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:08:01 +0800] "GET /Bingle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2014:00:08:02 +0800] "GET /Bingle/ HTTP/1.1" 200 2449
