116.9.129.174 - - [07/Jun/2014:00:16:35 +0800] "GET / HTTP/1.0" 200 11228
222.84.151.97 - - [07/Jun/2014:00:44:05 +0800] "GET / HTTP/1.0" 200 11228
125.46.40.17 - - [07/Jun/2014:01:02:26 +0800] "HEAD / HTTP/1.1" 200 -
222.209.63.231 - - [07/Jun/2014:01:06:48 +0800] "GET / HTTP/1.0" 200 11228
180.139.69.112 - - [07/Jun/2014:02:06:39 +0800] "GET / HTTP/1.0" 200 11228
114.107.179.199 - - [07/Jun/2014:02:31:08 +0800] "GET / HTTP/1.0" 200 11228
86.57.171.214 - - [07/Jun/2014:02:39:27 +0800] "GET / HTTP/1.0" 200 11228
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/ HTTP/1.1" 200 5892
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/common.css?_=4.8.1 HTTP/1.1" 200 13502
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/cloud.css?_=4.8.1 HTTP/1.1" 200 6666
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/cores.css?_=4.8.1 HTTP/1.1" 200 4431
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/files.css?_=4.8.1 HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/analysis.css?_=4.8.1 HTTP/1.1" 200 6070
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/dataimport.css?_=4.8.1 HTTP/1.1" 200 7504
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/dashboard.css?_=4.8.1 HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/index.css?_=4.8.1 HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/plugins.css?_=4.8.1 HTTP/1.1" 200 4087
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/menu.css?_=4.8.1 HTTP/1.1" 200 6212
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/logging.css?_=4.8.1 HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/java-properties.css?_=4.8.1 HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/documents.css?_=4.8.1 HTTP/1.1" 200 3581
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/threads.css?_=4.8.1 HTTP/1.1" 200 3665
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/query.css?_=4.8.1 HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/replication.css?_=4.8.1 HTTP/1.1" 200 9733
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/styles/schema-browser.css?_=4.8.1 HTTP/1.1" 200 12272
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/css/chosen.css?_=4.8.1 HTTP/1.1" 200 15200
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/js/require.js?_=4.8.1 HTTP/1.1" 200 334559
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/js/main.js?_=4.8.1 HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/img/solr.png HTTP/1.1" 200 7926
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/img/ico/box.png HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/img/ico/dashboard.png HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/img/ico/databases.png HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/img/ico/jar.png HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/img/ico/inbox-document-text.png HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/img/ico/ui-accordion.png HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/img/ico/document-text.png HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [07/Jun/2014:15:45:59 +0800] "GET /solr/img/ico/users.png HTTP/1.1" 200 870
